season,team,passing_yards,rushing_yards
2020,ARI,27.716217,15.114865
2020,ATL,26.25,8.704545
2020,BAL,17.566137,18.291006
2020,BUF,30.785715,10.879121
2020,CAR,27.526667,11.36
2020,CHI,23.565714,9.685715
2020,CIN,23.41358,10.296296
2020,CLE,24.37427,15.280702
2020,DAL,29.874172,11.84106
2020,DEN,22.396341,11.695122
2020,DET,24.841808,8.468926
2020,GB,26.564516,12.758064
2020,HOU,32.94558,9.972789
2020,IND,23.53403,11.303665
2020,JAX,24.874214,9.553459
2020,KC,32.179348,11.646739
2020,LA,27.355421,13.722892
2020,LAC,27.90184,10.944785
2020,LV,24.623596,10.764045
2020,MIA,21.75138,9.325967
2020,MIN,28.62416,15.322147
2020,NE,20.688742,15.536424
2020,NO,22.44898,12.714286
2020,NYG,19.857143,10.523809
2020,NYJ,21.335617,11.527397
2020,PHI,21.67442,11.7848835
2020,PIT,26.158192,7.9265537
2020,SEA,25.543352,12.179191
2020,SF,25.714285,11.244047
2020,TB,28.334951,9.752427
2020,TEN,21.808743,14.978142
2020,WAS,25.962025,10.740506
2021,ARI,28.824242,12.951515
2021,ATL,23.180233,8.436047
2021,BAL,25.39881,14.755953
2021,BUF,27.203209,13.304812
2021,CAR,20.773256,10.709302
2021,CHI,22.71875,12.6125
2021,CIN,31.811829,11.209678
2021,CLE,20.68,14.12
2021,DAL,30.074713,12.620689
2021,DEN,24.560509,12.898089
2021,DET,22.84706,11.094118
2021,GB,25.681082,10.632432
2021,HOU,20.39326,7.988764
2021,IND,20.157303,14.269663
2021,JAX,21.236994,10.144508
2021,KC,27.131222,10.77828
2021,LA,34.977142,11.48
2021,LAC,26.95699,9.860215
2021,LV,28.120878,9.450549
2021,MIA,21.048128,8.385027
2021,MIN,28.343948,12.292994
2021,NE,24.463276,12.655367
2021,NO,19.41808,11.248588
2021,NYG,19.564972,9.536723
2021,NYJ,21.63388,9.109289
2021,PHI,23.722221,17.345678
2021,PIT,23.381216,9.055248
2021,SEA,22.84431,12.419162
2021,SF,26.875675,13.464865
2021,TB,29.618813,9.054456
2021,TEN,19.628714,12.594059
2021,WAS,21.163841,11.644068
2022,ARI,24.633541,11.63354
2022,ATL,16.725714,15.531428
2022,BAL,18.33155,15.374331
2022,BUF,26.814207,13.131147
2022,CAR,19.437126,13.233533
2022,CHI,15.745455,18.266666
2022,CIN,31.011835,10.781065
2022,CLE,23.481012,15.759494
2022,DAL,25.413794,14.379311
2022,DEN,22.26111,10.75
2022,DET,24.688889,12.105556
2022,GB,22.48555,12.213873
2022,HOU,19.90164,8.065574
2022,IND,23.22289,11.240964
2022,JAX,25.42623,12.989071
2022,KC,25.538462,9.888889
2022,LA,20.994013,9.946108
2022,LAC,27.67213,8.693989
2022,LV,27.333334,13.444445
2022,MIA,26.236841,9.094737
2022,MIN,28.589888,9.674157
2022,NE,23.695652,11.378882
2022,NO,23.210526,11.590643
2022,NYG,21.847458,15.700565
2022,NYJ,23.218391,9.689655
2022,PHI,26.71892,16.432432
2022,PIT,21.284883,12.052325
2022,SEA,25.055248,11.856354
2022,SF,24.957447,14.547873
2022,TB,27.852459,7.431694
2022,TEN,19.676828,12.993902
2022,WAS,22.789156,12.909638
2023,ARI,20.416666,14.077381
2023,ATL,22.076023,12.625731
2023,BAL,22.539267,15.554974
2023,BUF,24.710526,13.542106
2023,CAR,18.86628,10.2848835
2023,CHI,20.733334,14.539394
2023,CIN,23.91573,8.578651
2023,CLE,22.60733,10.853403
2023,DAL,25.964102,10.476923
2023,DEN,20.033709,10.168539
2023,DET,28.952127,14.287234
2023,GB,23.73604,11.086294
2023,HOU,24.671568,8.583333
2023,IND,22.310345,11.833333
2023,JAX,26.689024,10.036586
2023,KC,23.626087,9.982609
2023,LA,30.109678,13.632258
2023,LAC,24.361582,9.276836
2023,LV,22.490797,9.460123
2023,MIA,27.357542,13.318436
2023,MIN,29.192547,9.645963
2023,NE,20.311377,9.742515
2023,NO,24.707602,10.187135
2023,NYG,19.59649,10.9590645
2023,NYJ,19.385057,9.465517
2023,PHI,28.032467,14.493506
2023,PIT,22.670807,13.142858
2023,SEA,24.803572,9.404762
2023,SF,29.679558,15.276243
2023,TB,26.723164,9.700565
2023,TEN,22.805195,11.987013
2023,WAS,22.684782,8.652174
2024,ARI,23.107784,14.676646
2024,ATL,30.375887,15.737589
2024,BAL,25.234972,20.021858
2024,BUF,21.274418,12.716279
2024,CAR,20.548193,11.313253
2024,CHI,25.014084,12.211267
2024,CIN,31.935064,10.220779
2024,CLE,22.552326,9.348837
2024,DAL,21.202072,8.834197
2024,DEN,18.890476,9.461905
2024,DET,29.729412,15.817647
2024,GB,22.559782,14.146739
2024,HOU,23.08763,11.474227
2024,IND,20.92442,13.476745
2024,JAX,22.944445,10.672839
2024,KC,22.287735,9.54717
2024,LA,26.005617,11.044944
2024,LAC,21.246155,9.907692
2024,LV,26.222929,8.643312
2024,MIA,21.468084,9.547873
2024,MIN,26.88372,11.401163
2024,NE,19.212645,11.316092
2024,NO,21.43678,11.229885
2024,NYG,24.116438,12.212329
2024,NYJ,25.41772,9.879746
2024,PHI,23.70391,21.597765
2024,PIT,20.844086,11.801075
2024,SEA,27.36875,10.16875
2024,SF,28.727272,14.045455
2024,TB,28.253012,15.885542
2024,TEN,21.682634,11.107784
2024,WAS,23.18932,14.475728
