feature,weight,abs_weight,importance_rank
away_KC,-0.5959600640507008,0.5959600640507008,61
home_ARI,-0.4419541850218183,0.4419541850218183,14
home_KC,0.4250113684494049,0.4250113684494049,29
home_BUF,0.4188458793908645,0.4188458793908645,17
away_CAR,0.3576664055421583,0.3576664055421583,50
home_CLE,0.34672096405364095,0.34672096405364095,21
away_JAX,0.34534040741072763,0.34534040741072763,60
home_WAS,-0.34455269329334,0.34455269329334,45
away_SF,-0.3341474356572892,0.3341474356572892,74
home_HOU,-0.3141753933402869,0.3141753933402869,26
away_ATL,0.3043807360373318,0.3043807360373318,47
home_GB,0.3006346754605564,0.3006346754605564,25
home_CAR,-0.2785455652398692,0.2785455652398692,18
home_MIA,0.2624192703790973,0.2624192703790973,33
away_DEN,0.24946725776824652,0.24946725776824652,55
away_NYJ,0.23926619274311975,0.23926619274311975,70
away_PIT,-0.2247736085039792,0.2247736085039792,72
away_HOU,0.2241614494556752,0.2241614494556752,58
home_NYJ,-0.217784127588307,0.217784127588307,38
away_BAL,-0.2099534381174553,0.2099534381174553,48
home_IND,-0.20910979191951695,0.20910979191951695,27
away_CHI,0.20529887241589417,0.20529887241589417,51
home_DAL,0.2003467085858866,0.2003467085858866,22
home_CHI,-0.19569195662704192,0.19569195662704192,19
home_JAX,-0.18921123468253936,0.18921123468253936,28
home_CIN,0.18673799309219197,0.18673799309219197,20
home_NE,-0.18532666006370058,0.18532666006370058,35
away_TB,-0.18160841444633213,0.18160841444633213,75
home_PIT,0.17643602627823898,0.17643602627823898,40
home_LA,0.16741135348329034,0.16741135348329034,30
rolling_point_diff_advantage,0.15616111464855414,0.15616111464855414,13
away_BUF,-0.1560120383269368,0.1560120383269368,49
home_TB,0.15567587898386762,0.15567587898386762,43
away_CLE,0.1503606298082767,0.1503606298082767,53
away_rolling_points,-0.1494652278924306,0.1494652278924306,11
away_NYG,0.1491629933200223,0.1491629933200223,69
bias_term,0.14646650630897778,0.14646650630897778,1
away_MIA,0.14044206959851926,0.14044206959851926,65
away_NO,-0.13758102777867945,0.13758102777867945,68
home_ATL,-0.12654065966729744,0.12654065966729744,15
home_rolling_points,0.11992634990382225,0.11992634990382225,10
home_PHI,0.11947832624259246,0.11947832624259246,39
home_rolling_win_pct,0.11890514599081087,0.11890514599081087,8
home_LAC,-0.11684900666348834,0.11684900666348834,31
away_CIN,-0.0976083322919235,0.0976083322919235,52
away_IND,-0.09321137333070655,0.09321137333070655,59
home_DET,-0.09216695774162276,0.09216695774162276,24
rolling_win_advantage,0.09201984101713623,0.09201984101713623,12
home_BAL,0.07857825522522381,0.07857825522522381,16
away_LA,-0.07103686022613719,0.07103686022613719,62
home_SEA,0.06207429639047831,0.06207429639047831,41
away_DET,0.05925961171059188,0.05925961171059188,56
away_ARI,-0.05842672349728415,0.05842672349728415,46
away_PHI,-0.05605625860454146,0.05605625860454146,71
home_DEN,-0.055540588218410285,0.055540588218410285,23
away_DAL,0.054193708257177765,0.054193708257177765,54
home_TEN,0.051671477065130804,0.051671477065130804,44
away_LAC,0.046528477753410534,0.046528477753410534,63
home_SF,0.046409485131476025,0.046409485131476025,42
home_LV,-0.044524097080150385,0.044524097080150385,32
away_WAS,-0.04178629818405642,0.04178629818405642,77
away_MIN,-0.041146093722627244,0.041146093722627244,66
home_MIN,-0.03558183135452028,0.03558183135452028,34
away_TEN,-0.02532512416396872,0.02532512416396872,76
home_NYG,-0.02461024418110182,0.02461024418110182,37
away_rolling_win_pct,-0.020907661016122313,0.020907661016122313,9
away_off_vs_home_def,0.0189499084507586,0.0189499084507586,6
point_diff_advantage,-0.017763661861711456,0.017763661861711456,4
away_point_diff,-0.015268331367803128,0.015268331367803128,3
away_NE,-0.01240712888970579,0.01240712888970579,67
yards_advantage,0.009246038036577902,0.009246038036577902,7
home_off_vs_away_def,-0.008778759204758315,0.008778759204758315,5
away_SEA,-0.008220250713894315,0.008220250713894315,73
home_point_diff,-0.007530826920759272,0.007530826920759272,2
home_NO,0.005031399381793215,0.005031399381793215,36
away_LV,-0.0032334834017800694,0.0032334834017800694,64
away_GB,-0.0023357268701277548,0.0023357268701277548,57
